item_no,category_name,item_description,vendor,vendor_name,bottle_size,pack,inner_pack,proof,list_date,bottle_price,shelf_price,case_cost
67220,MISC. IMPORTED CORDIALS & LIQUEURS,Villa Massa Limoncello,978,W. J. Deutsch And Sons Ltd.,750,6,1,60,2009-07-01T00:00:00Z,15,22.5,90
67226,MISC. IMPORTED CORDIALS & LIQUEURS,Vandermint Chocolate Mint Liqueur,259,Heaven Hill Distilleries Inc.,750,12,1,52,1997-03-01T00:00:00Z,11.09,16.64,133.1
67250,MISCELLANEOUS SCHNAPPS,Yukon Jack Mad Jack,260,Diageo Americas,750,12,1,100,1995-05-01T00:00:00Z,7.77,11.66,93.19
67263,WHISKEY LIQUEUR,Yukon Jack Canadian Liqueur,260,Diageo Americas,200,48,1,100,1991-04-01T00:00:00Z,2.28,3.42,109.49
67264,WHISKEY LIQUEUR,Yukon Jack Canadian Liqueur,260,Diageo Americas,375,24,1,100,1987-08-01T00:00:00Z,5.25,7.88,125.99
67266,WHISKEY LIQUEUR,Yukon Jack Canadian Liqueur,260,Diageo Americas,750,12,1,100,1977-05-01T00:00:00Z,9.25,13.88,111
10803,CANADIAN WHISKIES,Crown Royal Regal Apple Mini,260,Diageo Americas,300,10,6,80,2014-12-01T00:00:00Z,7.35,11.03,73.47
67267,WHISKEY LIQUEUR,Yukon Jack Canadian Liqueur,260,Diageo Americas,1000,12,1,100,1993-02-01T00:00:00Z,11.75,17.63,140.99
67272,BLENDED WHISKIES,Yukon Jack Jacapple Mini,260,Diageo Americas,500,12,10,70,2013-01-01T00:00:00Z,4.97,7.45,59.59
67273,BLENDED WHISKIES,Yukon Jack Jacapple,260,Diageo Americas,750,12,1,70,2013-01-01T00:00:00Z,9.25,13.88,111
67274,BLENDED WHISKIES,Yukon Jack Wicked Hot Mini,260,Diageo Americas,500,12,10,70,2013-01-01T00:00:00Z,4.97,7.45,59.59
67275,BLENDED WHISKIES,Yukon Jack Wicked Hot,260,Diageo Americas,750,12,1,70,2013-01-01T00:00:00Z,9.25,13.88,111
67278,MISC. IMPORTED CORDIALS & LIQUEURS,Yeni Raki,260,Diageo Americas,750,12,1,90,2013-12-01T00:00:00Z,11.49,17.24,137.88
67281,IMPORTED VODKA,Voli Espresso Vanilla,365,Park Street Imports Llc Voli,750,6,1,60,2011-09-20T00:00:00Z,12.78,19.17,76.67
67285,LOW PROOF VODKA,Voli Lyte Vodka,365,Park Street Imports Llc Voli,750,6,1,60,2011-08-01T00:00:00Z,12.79,19.19,76.76
67288,FLAVORED VODKA,Voli Lemon Vodka,365,Park Street Imports Llc Voli,750,6,1,60,2011-08-01T00:00:00Z,12.79,19.19,76.76
67291,IMPORTED VODKA,Voli Orange Vanilla,365,Park Street Imports Llc Voli,750,6,1,60,2011-09-16T00:00:00Z,12.79,19.19,76.76
10804,CANADIAN WHISKIES,Crown Royal Regal Apple,260,Diageo Americas,200,48,1,80,2014-12-01T00:00:00Z,4.33,6.5,207.53
67296,MISCELLANEOUS SCHNAPPS,Yukon Jack Perma Frost Schnapps,260,Diageo Americas,750,12,1,100,1993-08-01T00:00:00Z,9.5,14.25,113.89
67297,MISCELLANEOUS SCHNAPPS,Yukon Jack Perma Frost Schnapps,260,Diageo Americas,1000,12,1,100,1993-08-01T00:00:00Z,10.64,15.96,127.71
67298,FLAVORED VODKA,Voli Raspberry Cocoa,365,Park Street Imports Llc Voli,750,6,1,60,2011-09-20T00:00:00Z,3.88,5.82,23.25
67315,MISC. IMPORTED CORDIALS & LIQUEURS,Zen Green Tea Liqueur,461,Campari(skyy),750,12,1,40,2007-03-01T00:00:00Z,15.59,23.39,187.13
67322,MISC. IMPORTED CORDIALS & LIQUEURS,Zwack,260,Diageo Americas,750,6,1,80,2009-02-01T00:00:00Z,12.48,18.72,74.88
67341,COFFEE LIQUEURS,Avion Espresso,370,Pernod Ricard Usa/austin Nichols,750,6,1,70,2013-05-01T00:00:00Z,12.49,18.74,74.92
67367,COFFEE LIQUEURS,Cafe Aztec Coffee Liqueur,490,Allied Domecq Spirits And Wine Usa,1000,12,1,51,1999-09-01T00:00:00Z,6.19,9.29,74.32
674,DECANTERS & SPECIALTY PACKAGES,Chivas Regal 18YR Tin,370,Pernod Ricard Usa/austin Nichols,750,6,1,80,2014-09-01T00:00:00Z,34.99,52.49,209.94
67406,DECANTERS & SPECIALTY PACKAGES,Grand Marnier Cordon Rouge Cherry,420,Moet Hennessy Usa Inc.,750,12,1,80,2012-09-01T00:00:00Z,23.99,35.99,287.92
67426,COFFEE LIQUEURS,Copa De Oro Mexican Coffee,259,Heaven Hill Distilleries Inc.,750,12,1,42,2000-09-01T00:00:00Z,5.21,8.15,62.48
904670,TEQUILA,Aha Toro Reposado Tequila,241,William Ryan Select Ltd,750,6,1,80,2009-07-31T00:00:00Z,30.36,45.54,182.17
10805,CANADIAN WHISKIES,Crown Royal Regal Apple,260,Diageo Americas,375,24,1,80,2014-12-01T00:00:00Z,7.75,11.63,185.93
67436,CREAM LIQUEURS,Coquila Chocolate Cream Liqueur,298,White Rock Distilleries Inc.,750,6,1,34,2000-01-01T00:00:00Z,10.4,15.6,62.37
67487,MISC. IMPORTED CORDIALS & LIQUEURS,Grand Marnier Raspberry Peach,420,Moet Hennessy Usa Inc.,750,12,1,80,2013-10-01T00:00:00Z,23.31,34.97,279.68
67488,DECANTERS & SPECIALTY PACKAGES,Grand Marnier Cherry,420,Moet Hennessy Usa Inc.,750,12,1,80,2012-11-01T00:00:00Z,23.99,35.99,287.92
67495,COFFEE LIQUEURS,Irishman Irish Coffee,357,Palm Bay Imports Inc.,750,12,1,21,2013-11-01T00:00:00Z,14.67,22.01,175.94
67508,DECANTERS & SPECIALTY PACKAGES,Kahlua Gingerbread,370,Pernod Ricard Usa/austin Nichols,750,12,1,40,2012-10-01T00:00:00Z,12,17.99,143.94
67509,COFFEE LIQUEURS,Kahlua Midnight,370,Pernod Ricard Usa/austin Nichols,750,12,1,70,2012-11-01T00:00:00Z,9.99,14.99,119.88
67513,DECANTERS & SPECIALTY PACKAGES,Kahlua Cinnamon Spice,370,Pernod Ricard Usa/austin Nichols,750,12,1,40,2014-09-01T00:00:00Z,10.99,16.49,131.88
67515,CREAM LIQUEURS,Kahlua Coffee Cream,370,Pernod Ricard Usa/austin Nichols,750,12,1,34,2009-08-01T00:00:00Z,11.61,17.42,139.36
67521,COFFEE LIQUEURS,Kahlua Coffee Liqueur,370,Pernod Ricard Usa/austin Nichols,603,10,1,53,1985-11-01T00:00:00Z,10.88,16.32,108.8
67522,COFFEE LIQUEURS,Kahlua Coffee Liqueur Mini,370,Pernod Ricard Usa/austin Nichols,500,12,10,40,2007-11-01T00:00:00Z,6.6,9.9,79.2
10806,CANADIAN WHISKIES,Canadian Club Sherry Cask,65,Jim Beam Brands,750,12,1,82,1999-03-01T00:00:00Z,12.59,18.89,151.13
67524,COFFEE LIQUEURS,Kahlua Coffee Liqueur,370,Pernod Ricard Usa/austin Nichols,375,24,1,40,1985-10-01T00:00:00Z,6.49,9.74,155.76
67526,COFFEE LIQUEURS,Kahlua Coffee Liqueur,370,Pernod Ricard Usa/austin Nichols,750,12,1,40,1970-02-01T00:00:00Z,10.99,16.49,131.88
67527,COFFEE LIQUEURS,Kahlua Coffee Liqueur,370,Pernod Ricard Usa/austin Nichols,1000,12,1,40,1987-12-01T00:00:00Z,15.24,22.86,182.88
67528,COFFEE LIQUEURS,Kahlua Coffee Liqueur,370,Pernod Ricard Usa/austin Nichols,1750,6,1,40,1978-11-01T00:00:00Z,22.49,33.74,134.94
67536,COFFEE LIQUEURS,Kahlua Especial,370,Pernod Ricard Usa/austin Nichols,750,12,1,70,2002-07-01T00:00:00Z,11.99,17.99,143.88
67540,COFFEE LIQUEURS,Kahlua French Vanilla Liqueur,370,Pernod Ricard Usa/austin Nichols,750,12,1,40,2007-11-01T00:00:00Z,10.99,16.49,131.88
67545,COFFEE LIQUEURS,Kahlua Hazelnut Liqueur,370,Pernod Ricard Usa/austin Nichols,603,10,1,40,2007-06-01T00:00:00Z,10.88,16.32,108.8
67546,DECANTERS & SPECIALTY PACKAGES,Kahlua Hazelnut,370,Pernod Ricard Usa/austin Nichols,750,12,1,40,2014-09-01T00:00:00Z,10.99,16.49,131.88
67554,COFFEE LIQUEURS,Kamora Coffee Liqueur,65,Jim Beam Brands,375,24,1,53,1989-05-01T00:00:00Z,3.33,5,80.01
67556,COFFEE LIQUEURS,Kamora Coffee Liqueur,65,Jim Beam Brands,750,12,1,40,1987-08-01T00:00:00Z,6.3,9.45,75.52
10807,CANADIAN WHISKIES,Crown Royal Regal Apple,260,Diageo Americas,750,12,1,80,2014-12-01T00:00:00Z,15,22.5,179.89
67557,COFFEE LIQUEURS,Kamora Coffee Liqueur,65,Jim Beam Brands,1000,12,1,40,1995-05-01T00:00:00Z,8.39,12.59,100.68
67558,COFFEE LIQUEURS,Kamora Coffee Liqueur,65,Jim Beam Brands,1750,6,1,40,1993-01-01T00:00:00Z,13.19,19.79,79.16
67571,COFFEE LIQUEURS,Kahlua Mocha Liqueur,370,Pernod Ricard Usa/austin Nichols,750,12,1,40,2008-05-01T00:00:00Z,10.99,16.49,131.88
67574,DECANTERS & SPECIALTY PACKAGES,Kahlua Pumpkin Spice,370,Pernod Ricard Usa/austin Nichols,750,12,1,70,2014-09-01T00:00:00Z,10.99,16.49,131.88
67575,DECANTERS & SPECIALTY PACKAGES,Kahlua Peppermint Mocha,370,Pernod Ricard Usa/austin Nichols,750,12,1,40,2014-09-01T00:00:00Z,10.99,16.49,131.88
67586,COFFEE LIQUEURS,Kapali Coffee Liqueur,421,Sazerac Co. Inc.,750,12,1,53,1992-01-01T00:00:00Z,5.72,8.58,68.63
67590,COFFEE LIQUEURS,Patron XO Cafe Mini,410,The Patron Spirits Company,300,10,6,70,2014-02-01T00:00:00Z,7.91,11.87,79.1
67592,COFFEE LIQUEURS,Patron Xo Cafe,410,The Patron Spirits Company,750,6,1,70,2005-11-01T00:00:00Z,14.49,21.74,86.96
67595,COFFEE LIQUEURS,Patron Xo Cafe,410,The Patron Spirits Company,750,6,1,70,2011-01-01T00:00:00Z,14.5,21.75,86.96
67599,COFFEE LIQUEURS,XO Cafe Dark Cocoa,410,The Patron Spirits Company,750,6,1,60,2012-04-01T00:00:00Z,13.59,20.39,81.5
10808,CANADIAN WHISKIES,Crown Royal Regal Apple,260,Diageo Americas,1000,12,1,80,2014-12-01T00:00:00Z,18.5,27.75,221.89
67600,COFFEE LIQUEURS,Karimba Coffee Liqueur,350,Luxco-cleveland,750,6,1,53,1998-12-01T00:00:00Z,9.07,13.61,54.4
67606,COFFEE LIQUEURS,Kontessa Coffee Liqueur,300,Mccormick Distilling Company,750,12,1,53,2001-04-01T00:00:00Z,5.53,8.3,66.35
67686,MISC. IMPORTED CORDIALS & LIQUEURS,Peter Heering Cherry Liqueur,65,Jim Beam Brands,750,12,1,48,1994-01-01T00:00:00Z,9.44,14.16,113.28
67706,COFFEE LIQUEURS,Sabroso,55,Sazerac North America,750,12,1,48,1994-12-19T00:00:00Z,4.68,7.02,56.1
67708,COFFEE LIQUEURS,Sabroso Coffee Liqueur,55,Sazerac North America,1750,6,1,48,2000-01-01T00:00:00Z,10.83,16.25,64.97
67757,COFFEE LIQUEURS,Patron XO Cafe,410,The Patron Spirits Company,375,12,1,70,2014-02-01T00:00:00Z,6.85,10.28,82.1
67806,COFFEE LIQUEURS,Tia Maria Coffee Liqueur,35,Bacardi U.s.a. Inc.,750,12,1,53,1983-11-01T00:00:00Z,11.8,17.7,141.57
67866,CREAM LIQUEURS,Amarula Creme Liqueur,305,Mhw Ltd,750,12,1,34,2014-02-01T00:00:00Z,11.09,16.64,133
680,DECANTERS & SPECIALTY PACKAGES,Malibu w/50ml Black & Red,370,Pernod Ricard Usa/austin Nichols,850,12,3,42,2014-07-01T00:00:00Z,7.49,11.24,89.88
68002,NA,Albertson's Irish Cream,198,Frank-lin Distillers Products Ltd.,1750,6,1,40,2000-03-01T00:00:00Z,11.9,17.85,71.4
10809,CANADIAN WHISKIES,Crown Royal Regal Apple,260,Diageo Americas,1750,6,1,80,2014-12-01T00:00:00Z,31.99,47.99,191.93
68016,CREAM LIQUEURS,Bailey's Light Irish Cream,260,Diageo Americas,750,12,1,30,1992-08-01T00:00:00Z,11.76,17.64,141.1
68017,CREAM LIQUEURS,Bailey's Chocolate Cherry,260,Diageo Americas,750,12,1,34,2014-10-01T00:00:00Z,13.25,19.88,158.89
68020,CREAM LIQUEURS,Baileys Carmel Irish Cream,260,Diageo Americas,1005,4,1,34,2006-09-01T00:00:00Z,23.93,35.9,95.73
68022,CREAM LIQUEURS,Bailey's Caramel Irish Cream,260,Diageo Americas,750,12,1,34,2006-09-01T00:00:00Z,13.25,19.88,158.89
68026,CREAM LIQUEURS,Baileys Mint Chocolate Irish Cream,260,Diageo Americas,1005,4,1,34,2006-09-01T00:00:00Z,23.93,35.9,95.73
68028,CREAM LIQUEURS,Bailey's Mint Chocolate Irish Cream,260,Diageo Americas,750,12,1,34,2006-09-01T00:00:00Z,13,19.5,155.95
68031,CREAM LIQUEURS,Bailey's Original Irish Cream Minis,260,Diageo Americas,1000,4,20,34,1985-11-01T00:00:00Z,25.25,37.88,100.97
68032,CREAM LIQUEURS,Bailey's Irish Cream Liqueur,260,Diageo Americas,200,4,1,34,1998-10-01T00:00:00Z,23.11,34.67,92.44
68034,CREAM LIQUEURS,Bailey's Original Irish Cream,260,Diageo Americas,375,12,1,34,1985-03-01T00:00:00Z,7,10.5,83.94
68036,CREAM LIQUEURS,Bailey's Original Irish Cream,260,Diageo Americas,750,12,1,34,1980-08-01T00:00:00Z,13.25,19.88,158.89
1081,DECANTERS & SPECIALTY PACKAGES,Cutty Sark With Poker Chips,389,Remy Cointreau Usa         .,750,6,1,80,2006-07-01T00:00:00Z,11.9,17.85,71.38
68037,CREAM LIQUEURS,Bailey's Original Irish Cream,260,Diageo Americas,1000,12,1,34,1987-09-01T00:00:00Z,17.25,25.88,207
68038,CREAM LIQUEURS,Bailey's Original Irish Cream,260,Diageo Americas,1750,6,1,34,1997-01-01T00:00:00Z,26.49,39.74,158.93
68039,CREAM LIQUEURS,Bailey's Original Irish Cream,260,Diageo Americas,2400,4,24,34,2003-06-01T00:00:00Z,28.71,43.07,114.84
68043,CREAM LIQUEURS,Bailey's Coffee Irish Cream,260,Diageo Americas,750,12,1,34,2008-11-01T00:00:00Z,13.25,19.88,158.89
68046,CREAM LIQUEURS,Bailey's Hazelnut Irish Cream Mini,260,Diageo Americas,1000,4,20,34,2012-09-01T00:00:00Z,25.24,37.86,100.97
68047,CREAM LIQUEURS,Bailey's Hazelnut Irish Cream,260,Diageo Americas,750,12,1,34,2012-09-01T00:00:00Z,13.25,19.88,158.89
68048,CREAM LIQUEURS,Bailey's Vanilla Cinnamon Mini,260,Diageo Americas,1000,4,20,34,2013-08-01T00:00:00Z,25.25,37.88,100.97
68049,CREAM LIQUEURS,Bailey's Vanilla Cinnamon,260,Diageo Americas,750,12,1,34,2013-08-01T00:00:00Z,13.25,19.88,158.89
68059,CREAM LIQUEURS,Brady's Irish Cream Liqueur,305,Mhw Ltd,750,12,1,34,2003-12-01T00:00:00Z,6,9,71.94
68066,CREAM LIQUEURS,Baitz Island Cream Liqueur,467,Tyfield Imp. D/b/a Masterpieces,750,12,1,34,1994-06-01T00:00:00Z,7.03,10.55,84.3
10812,DECANTERS & SPECIALTY PACKAGES,Crown Royal 75th Anniversary,260,Diageo Americas,750,6,1,80,2014-06-01T00:00:00Z,37.48,56.22,224.88
68106,CREAM LIQUEURS,Carezza Cappuccino Liqueur,761,Capstone International Inc,750,12,1,34,1993-09-01T00:00:00Z,8.63,12.95,103.6
68116,CREAM LIQUEURS,Carolan's Light Irish Cream Liqueur,490,Allied Domecq Spirits And Wine Usa,750,12,1,30,1992-10-01T00:00:00Z,7.11,10.67,85.27
68119,DECANTERS & SPECIALTY PACKAGES,Carolan's W/glasses Irish Cream Liqueur,461,Campari(skyy),750,6,1,34,1988-09-01T00:00:00Z,6.66,9.99,39.96
68126,CREAM LIQUEURS,Carolan's Irish Cream Liqueur,461,Campari(skyy),750,12,1,34,1988-05-01T00:00:00Z,7.7,11.55,92.32
68127,CREAM LIQUEURS,Carolan's Irish Cream Liqueur,461,Campari(skyy),1000,12,1,34,1991-04-01T00:00:00Z,9.77,14.66,117.2
68128,CREAM LIQUEURS,Carolan's Irish Cream Liqueur,490,Allied Domecq Spirits And Wine Usa,1750,6,1,34,1988-11-01T00:00:00Z,18.09,27.14,108.56
68136,CREAM LIQUEURS,Carolan's Irish Coffee Cream,490,Allied Domecq Spirits And Wine Usa,750,12,1,34,1994-10-01T00:00:00Z,7.11,10.67,85.27
68140,CREAM LIQUEURS,Carolan's Irish Cream Liqueur,461,Campari(skyy),402,12,1,34,2005-04-01T00:00:00Z,3.99,5.99,47.92
68177,CREAM LIQUEURS,Coronodo Rompope,135,Nws Inc Dba Consolidated Dist,1000,12,1,20,1999-09-01T00:00:00Z,3.97,5.96,47.6
68186,CREAM LIQUEURS,Cruzan Rum Cream,707,Cruzan International Inc.,750,12,1,34,1999-09-01T00:00:00Z,8.5,12.75,101.94
10815,CANADIAN WHISKIES,Crown Royal Maple Mini,260,Diageo Americas,300,10,6,80,2012-10-01T00:00:00Z,7.35,11.03,73.47
68306,CREAM LIQUEURS,Emmets Irish Cream Liqueur,260,Diageo Americas,750,12,1,34,1985-10-01T00:00:00Z,6,9,71.95
68446,CREAM LIQUEURS,Giori Lemon Cream,969,Aveniu Brands,750,12,1,34,2001-10-01T00:00:00Z,10.08,15.12,120.97
68526,CREAM LIQUEURS,Irishman Cream Liqueur,357,Palm Bay Imports Inc.,750,12,1,17,2013-11-01T00:00:00Z,9.67,14.51,115.94
68546,CREAM LIQUEURS,Heather Cream Liqueur,115,Constellation Wine Company Inc.,750,12,1,34,1991-10-01T00:00:00Z,6.66,9.99,79.92
68551,CREAM LIQUEURS,Ke Ke Beach Liqueur,300,Mccormick Distilling Company,1508,4,1,30,2000-08-01T00:00:00Z,19.89,29.84,79.56
68556,CREAM LIQUEURS,Ke Ke Beach Liqueur(dno),300,Mccormick Distilling Company,750,12,1,30,2000-08-01T00:00:00Z,10.93,16.4,131.15
68566,CREAM LIQUEURS,Kahlua Royale Cream Liqueur,490,Allied Domecq Spirits And Wine Usa,750,12,1,34,1995-09-01T00:00:00Z,11.09,16.64,133.13
68571,CREAM LIQUEURS,La Belle Cream,298,White Rock Distilleries Inc.,603,4,1,34,1998-10-01T00:00:00Z,12.6,18.9,50.4
68576,CREAM LIQUEURS,La Belle Cream,298,White Rock Distilleries Inc.,750,12,1,34,1998-10-01T00:00:00Z,7.8,11.7,93.55
686,DECANTERS & SPECIALTY PACKAGES,Bird Dog Peach w/4-50mls,492,Western Spirits Beverage Co. Llc,950,6,5,80,2014-10-01T00:00:00Z,10,15,60
10818,CANADIAN WHISKIES,Crown Royal Maple,260,Diageo Americas,750,12,1,80,2012-10-01T00:00:00Z,15,22.5,179.89
68611,CREAM LIQUEURS,Mc Cormick's Irish Cream,300,Mccormick Distilling Company,750,12,1,34,2000-01-01T00:00:00Z,5.4,8.6,64.69
68756,CREAM LIQUEURS,O'darby Irish Cream Liqueur,260,Diageo Americas,750,12,1,34,1983-11-01T00:00:00Z,6.33,9.5,76
68757,CREAM LIQUEURS,O'darby Irish Cream Liqueur,260,Diageo Americas,1000,12,1,34,1992-10-01T00:00:00Z,8.33,12.5,100
68772,MISC. IMPORTED CORDIALS & LIQUEURS,O'dowd's Pumpkin Spice,61,Biagio Cru And Estate Wines Llc,750,12,1,34,2011-11-04T00:00:00Z,3.88,5.82,23.25
68786,CREAM LIQUEURS,O'shea's Irish Cream,831,Better Beverage Importers,750,12,1,34,2000-08-01T00:00:00Z,6.39,9.59,76.72
68787,CREAM LIQUEURS,O'shea's Irish Cream,831,Better Beverage Importers,1000,12,1,34,2000-08-01T00:00:00Z,7.99,11.99,95.92
68837,CREAM LIQUEURS,Sgt. Peppermint Cream Liqueur,300,Mccormick Distilling Company,502,6,1,30,2005-05-01T00:00:00Z,5.28,7.92,31.68
68838,CREAM LIQUEURS,Sgt. Peppermint Cream Liqueur,300,Mccormick Distilling Company,750,6,1,30,2005-05-01T00:00:00Z,8.53,12.8,51.17
68842,CREAM LIQUEURS,St. Brendan's Superior Irish Cream Liqueur,434,Luxco-st Louis,1000,12,1,34,1998-06-01T00:00:00Z,10.69,16.04,128.21
68846,CREAM LIQUEURS,St. Brendan's Superior Irish Cream Liqueur,434,Luxco-st Louis,750,12,1,34,1988-05-01T00:00:00Z,7.69,11.54,92.26
10819,CANADIAN WHISKIES,Crown Royal Maple,260,Diageo Americas,1000,12,1,80,2013-08-01T00:00:00Z,18.5,27.75,221.89
68847,CREAM LIQUEURS,St. Brendan's Superior Irish Cream Liqueur,434,Luxco-st Louis,1000,12,1,34,1994-02-01T00:00:00Z,8.8,13.2,105.55
68870,CREAM LIQUEURS,Sylk Cream,35,Bacardi U.s.a. Inc.,750,12,1,34,2003-10-01T00:00:00Z,11.67,17.51,140
68988,CREAM LIQUEURS,Voyant Chai Liqueur,485,Bacmar International,750,12,1,25,2006-05-01T00:00:00Z,10.42,15.63,125
68989,CREAM LIQUEURS,Voyant Chai Liqueur,485,Bacmar International,603,6,1,25,2006-05-01T00:00:00Z,18.33,27.5,110
692,DECANTERS & SPECIALTY PACKAGES,Crown Royal 1.75L w/50ml CR Maple & CR Black Tray Pack,260,Diageo Americas,1850,6,3,80,2014-05-01T00:00:00Z,31.5,47.25,188.97
693,DECANTERS & SPECIALTY PACKAGES,Jack Daniel's TN Honey w/Flask,85,Brown-forman Corporation,750,6,1,70,2014-10-01T00:00:00Z,14.53,21.8,87.18
69586,NA,Black Haus Blackberry Schnapps,260,Diageo Americas,750,12,1,80,1996-05-01T00:00:00Z,12.48,18.72,149.75
69587,IMPORTED SCHNAPPS,Black Haus Blackberry Schnapps,260,Diageo Americas,1000,12,1,80,1996-11-01T00:00:00Z,15,22.5,179.95
69609,MISC. IMPORTED CORDIALS & LIQUEURS,Dr. McGillicuddy's Apple Pie Mini,421,Sazerac Co. Inc.,500,12,10,42,2014-09-01T00:00:00Z,4.96,7.44,59.5
69610,IMPORTED SCHNAPPS,Dr. McGillicuddy's Apple Pie Mini,421,Sazerac Co. Inc.,3000,1,60,42,2011-11-01T00:00:00Z,29.72,44.58,29.72
904671,SINGLE MALT SCOTCH,Benriach Mini Gift Pack Classic,391,Anchor Distilling (preiss Imports),502,12,1,84,2009-12-09T00:00:00Z,17.58,26.37,211
10826,CANADIAN WHISKIES,Crown Royal XO,260,Diageo Americas,750,12,1,80,2013-11-01T00:00:00Z,24.99,37.49,299.88
69611,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Apple Pie Schnapps,421,Sazerac Co. Inc.,750,12,1,42,2011-09-01T00:00:00Z,8.32,12.48,99.8
69626,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Black Licorice,421,Sazerac Co. Inc.,750,12,1,60,2009-09-01T00:00:00Z,8.32,12.48,99.8
69631,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Cherry Mini,421,Sazerac Co. Inc.,500,12,10,30,2011-05-01T00:00:00Z,4.96,7.44,59.5
69634,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Cherry Schnapps,421,Sazerac Co. Inc.,375,24,1,30,2007-09-01T00:00:00Z,5.33,8,127.9
69636,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Cherry Schnapps,421,Sazerac Co. Inc.,750,12,1,30,2006-05-01T00:00:00Z,8.67,13.01,103.95
69637,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Cherry Schnapps,421,Sazerac Co. Inc.,1000,12,1,30,2007-06-01T00:00:00Z,11,16.5,132
69638,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Cherry Schnapps,421,Sazerac Co. Inc.,1750,6,1,30,2010-08-01T00:00:00Z,14.66,21.99,87.96
69639,IMPORTED SCHNAPPS,Dr. McGillicuddy's Cherry Dispenser,421,Sazerac Co. Inc.,3000,1,60,48,2011-12-01T00:00:00Z,29.72,44.58,29.72
69646,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Lemon Drop,421,Sazerac Co. Inc.,750,12,1,42,2008-07-01T00:00:00Z,8.67,13.01,103.95
69650,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Mentholmint Schnapps Pet,421,Sazerac Co. Inc.,750,12,1,48,2000-11-01T00:00:00Z,7.8,11.7,93.6
1083,DECANTERS & SPECIALTY PACKAGES,Chivas Regal W/coaster Set,370,Pernod Ricard Usa/austin Nichols,1750,3,1,80,2006-08-01T00:00:00Z,35.36,53.04,106.07
69651,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Mentholmint Mini Dispenser,421,Sazerac Co. Inc.,3017,1,60,48,2011-05-01T00:00:00Z,16,24,16
69654,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Mint Schnapps,421,Sazerac Co. Inc.,375,24,1,48,1992-02-01T00:00:00Z,5.33,8,127.9
69656,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Mentholmint,421,Sazerac Co. Inc.,750,12,1,48,1984-11-01T00:00:00Z,8.67,13.01,103.95
69657,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Mentholmint,421,Sazerac Co. Inc.,1000,12,1,48,1994-04-01T00:00:00Z,11,16.5,132
69658,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Mentholmint,421,Sazerac Co. Inc.,1750,6,1,48,2004-02-01T00:00:00Z,14.66,21.99,87.96
69661,MISC. IMPORTED CORDIALS & LIQUEURS,Dr. Mcgillicuddy's Vanilla Mini,421,Sazerac Co. Inc.,500,12,10,48,2014-09-01T00:00:00Z,4.96,7.44,59.5
69664,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Vanilla Schnapps,421,Sazerac Co. Inc.,375,24,1,48,1998-01-01T00:00:00Z,5.33,8,127.9
69666,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Vanilla,421,Sazerac Co. Inc.,750,12,1,48,1996-04-01T00:00:00Z,8.67,13.01,103.95
69667,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Vanilla,421,Sazerac Co. Inc.,1000,12,1,48,1998-01-01T00:00:00Z,11,16.5,132
69669,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Vanilla Schnapps Pet,421,Sazerac Co. Inc.,750,12,1,48,2000-11-01T00:00:00Z,8.25,12.38,98.97
10831,CANADIAN WHISKIES,Crown Royal Black Mini,260,Diageo Americas,300,10,6,90,2013-10-01T00:00:00Z,6.84,10.26,68.37
69704,IMPORTED SCHNAPPS,Dr. McGillicuddy's Root Beer Mini,421,Sazerac Co. Inc.,3000,1,60,42,2011-11-01T00:00:00Z,29.72,44.58,29.72
69706,IMPORTED SCHNAPPS,Dr. Mcgillicuddy's Root Beer Schnapps,421,Sazerac Co. Inc.,750,12,1,42,2011-09-01T00:00:00Z,8.32,12.48,99.8
699,DECANTERS & SPECIALTY PACKAGES,Woodford Reserve w/Glass,85,Brown-forman Corporation,750,6,1,90,2014-10-01T00:00:00Z,21.02,31.53,126.08
69940,IMPORTED SCHNAPPS,Rumple Minze Peppermint Mini,260,Diageo Americas,500,12,10,100,2012-08-01T00:00:00Z,13.5,20.25,161.99
69941,IMPORTED SCHNAPPS,Rumple Minze Peppermint Schnapps Liqueur Mini,260,Diageo Americas,800,8,16,100,1989-05-01T00:00:00Z,21.21,31.82,169.67
69945,IMPORTED SCHNAPPS,Rumple Minze Peppermint Schnapps Liqueur,260,Diageo Americas,375,12,1,100,1999-11-01T00:00:00Z,7.13,10.7,85.47
